year,awards_name,winner,winner_details
1971,Best Actress - Drama,Ali MacGraw,Love Story
1971,Best Director,Arthur Hiller,Love Story
1971,World Film Favorite - Female,Barbra Streisand,
1971,World Film Favorite - Male,Clint Eastwood,
1972,Best Actor - Comedy or Musical,Topol,Fiddler on the Roof
1972,Best Actor - Drama,Gene Hackman,The French Connection
1972,Best Actress - Comedy or Musical,Twiggy,The Boy Friend
1972,Best Actress - Drama,Jane Fonda,Klute
1972,Best Director ,William Friedkin,The French Connection
1972,World Film Favorite - Female,Ali MacGraw,
1972,World Film Favorite - Male,Charles Bronson,
1973,Best Actor - Comedy or Musical,Jack Lemmon,Avanti!
1973,Best Actor - Drama,Marlon Brando,The Godfather
1973,Best Actress - Comedy or Musical,Liza Minnelli,Cabaret
1973,Best Actress - Drama,Liv Ullmann,The Emigrants
1973,Best Director ,Francis Ford Coppola,The Godfather
1973,World Film Favorite - Female,Jane Fonda,
1973,World Film Favorite - Male,Marlon Brando,
1974,Best Actor - Comedy or Musical,George Segal,A Touch of Class
1974,Best Actor - Drama,Al Pacino,Serpico
1974,Best Actress - Comedy or Musical,Glenda Jackson,A Touch of Class
1974,Best Actress - Drama,Marsha Mason,Cinderella Liberty
1974,Best Director ,William Friedkin,The Exorcist
1974,World Film Favorite - Female,Elizabeth Taylor,
1974,World Film Favorite - Male,Marlon Brando,
1975,Best Actor - Comedy or Musical,Art Carney,Harry and Tonto
1975,Best Actor - Drama,Jack Nicholson,Chinatown
1975,Best Actress - Comedy or Musical,Raquel Welch,The Three Musketeers
1975,Best Actress - Drama,Gena Rowlands,A Woman Under the Influence
1975,Best Director ,Roman Polanski,Chinatown
1975,World Film Favorite - Female,Barbra Streisand,
1975,World Film Favorite - Male,Robert Redford,
1976,Best Actor - Comedy or Musical,George Burns,The Sunshine Boys
1976,Best Actor - Drama,Jack Nicholson,One Flew Over the Cuckoo's Nest
1976,Best Actress - Comedy or Musical,Ann-Margret,Tommy
1976,Best Actress - Drama,Louise Fletcher,One Flew Over the Cuckoo's Nest
1976,Best Director ,Milos Forman,One Flew Over the Cuckoo's Nest
1977,Best Actor - Comedy or Musical,Kris Kristofferson,A Star Is Born
1977,Best Actor in Motion Picture - Drama,Peter Finch,Network
1977,Best Actress - Comedy or Musical,Barbra Streisand,A Star Is Born
1977,Best Actress - Drama,Faye Dunaway,Network
1977,Best Director ,Sidney Lumet,Network
1977,World Film Favorite - Female,Sophia Loren,
1977,World Film Favorite - Male,Robert Redford,
1978,Best Actor - Comedy or Musical,Richard Dreyfuss,The Goodbye Girl
1978,Best Actor - Drama,Richard Burton,Equus
1978,Best Actress - Comedy or Musical,Diane Keaton,Annie Hall
1978,Best Actress - Drama,Jane Fonda,Julia
1978,Best Director ,Herbert Ross,The Turning Point
1978,World Film Favorite - Female,Barbra Streisand,
1978,World Film Favorite - Male,Robert Redford,
1979,Best Actor - Comedy or Musical,Warren Beatty,Heaven Can Wait
1979,Best Actor - Drama,Jon Voight,Coming Home
1979,Best Actress - Comedy or Musical,Ellen Burstyn,"Same Time, Next Year"
1979,Best Actress - Drama,Jane Fonda,Coming Home
1979,Best Director ,Michael Cimino,The Deer Hunter
1979,World Film Favorite - Female,Jane Fonda,
1979,World Film Favorite - Male,John Travolta,
1980,Best Actor - Comedy or Musical,Peter Sellers,Being There
1980,Best Actor - Drama,Dustin Hoffman,Kramer vs. Kramer
1980,Best Actress - Comedy or Musical,Bette Midler,The Rose
1980,Best Actress - Drama,Sally Field,Norma Rae
1980,Best Director ,Francis Ford Coppola,Apocalypse Now
1980,World Film Favorite - Female,Jane Fonda,
1980,World Film Favorite - Male,Roger Moore,
1981,Best Actor - Comedy or Musical,Ray Sharkey,The Idolmaker
1981,Best Actor - Drama,Robert De Niro,Raging Bull
1981,Best Actress - Comedy or Musical,Sissy Spacek,Coal Miner's Daughter
1981,Best Actress - Drama,Mary Tyler Moore,Ordinary People
1981,Best Director ,Robert Redford,Ordinary People
1982,Best Actor - Comedy or Musical,Dudley Moore,Arthur
1982,Best Actor - Drama,Henry Fonda,On Golden Pond
1982,Best Actress - Comedy or Musical,Bernadette Peters,Pennies from Heaven
1982,Best Actress - Drama,Meryl Streep,The French Lieutenant's Woman
1982,Best Director ,Warren Beatty,Reds
1983,Best Actor - Comedy or Musical,Dustin Hoffman,Tootsie
1983,Best Actor - Drama,Ben Kingsley,Gandhi
1983,Best Actress - Comedy or Musical,Julie Andrews,Victor Victoria
1983,Best Actress - Drama,Meryl Streep,Sophie's Choice
1983,Best Director ,Richard Attenborough,Gandhi
1984,Best Director ,Barbra Streisand,Yentl
1984,Best Actor - Comedy or Musical,Michael Caine,Educating Rita
1984,Best Actor - Drama,Robert Duvall,Tender Mercies
1984,Best Actress - Comedy or Musical,Julie Walters,Educating Rita
1984,Best Actress - Drama,Shirley MacLaine,Terms of Endearment
1985,Best Director ,Milos Forman,Amadeus
1985,Best Actor - Comedy or Musical,Dudley Moore,Micki + Maude
1985,Best Actor - Drama,F. Murray Abraham,Amadeus
1985,Best Actress - Comedy or Musical,Kathleen Turner,Romancing the Stone
1985,Best Actress - Drama,Sally Field,Places in the Heart
1986,Best Director ,John Huston,Prizzi's Honor
1986,Best Actor - Comedy or Musical,Jack Nicholson,Prizzi's Honor
1986,Best Actor - Drama,Jon Voight,Runaway Train
1986,Best Actress - Comedy or Musical,Kathleen Turner,Prizzi's Honor
1986,Best Actress - Drama,Whoopi Goldberg,The Color Purple
1987,Best Director ,Oliver Stone,Platoon
1987,Best Actor - Comedy or Musical,Paul Hogan,Crocodile Dundee
1987,Best Actor - Drama,Bob Hoskins,Mona Lisa
1987,Best Actress - Comedy or Musical,Sissy Spacek,Crimes of the Heart
1987,Best Actress - Drama,Marlee Matlin,Children of a Lesser God
1988,Best Director ,Bernardo Bertolucci,The Last Emperor
1988,Best Actor - Comedy or Musical,Robin Williams,"Good Morning, Vietnam"
1988,Best Actor - Drama,Michael Douglas,Wall Street
1988,Best Actress - Comedy or Musical,Cher,Moonstruck
1988,Best Actress - Drama,Sally Kirkland,Anna
1989,Best Director ,Clint Eastwood,Bird
1989,Best Actor - Comedy or Musical,Tom Hanks,Big
1989,Best Actor - Drama,Dustin Hoffman,Rain Man
1989,Best Actress - Comedy or Musical,Melanie Griffith,Working Girl
1989,Best Actress - Drama,Jodie Foster,The Accused
1990,Best Director ,Oliver Stone,Born on the Fourth of July
1990,Best Actor - Comedy or Musical,Morgan Freeman,Driving Miss Daisy
1990,Best Actor - Drama,Tom Cruise,Born on the Fourth of July
1990,Best Actress - Comedy or Musical,Jessica Tandy,Driving Miss Daisy
1990,Best Actress - Drama,Michelle Pfeiffer,The Fabulous Baker Boys
1991,Best Director ,Kevin Costner,Dances with Wolves
1991,Best Actor - Comedy or Musical,Gérard Depardieu,Green Card
1991,Best Actor - Drama,Jeremy Irons,Reversal of Fortune
1991,Best Actress - Comedy or Musical,Julia Roberts,Pretty Woman
1991,Best Actress - Drama,Kathy Bates,Misery
1992,Best Director ,Oliver Stone,JFK
1992,Best Actor - Comedy or Musical,Robin Williams,The Fisher King
1992,Best Actor - Drama,Nick Nolte,The Prince of Tides
1992,Best Actress - Comedy or Musical,Bette Midler,For the Boys
1992,Best Actress - Drama,Jodie Foster,The Silence of the Lambs
1993,Best Director ,Clint Eastwood,Unforgiven
1993,Best Actor - Comedy or Musical,Tim Robbins,The Player
1993,Best Actor - Drama,Al Pacino,Scent of a Woman
1993,Best Actress - Comedy or Musical,Miranda Richardson,Enchanted April
1993,Best Actress - Drama,Emma Thompson,Howards End
1994,Best Director ,Steven Spielberg,Schindler's List
