year,awards_name,winner,winner_details
1997,Best Actress,Frances McDormand,Fargo
1997,Best Director,Anthony Minghella,The English Patient
1998,Best Actor,Jack Nicholson,As Good as It Gets
1998,Best Actress,Helen Hunt,As Good as It Gets
1998,Best Director,James Cameron,Titanic
1999,Best Actor,Roberto Benigni,Life Is Beautiful
1999,Best Actress,Gwyneth Paltrow,Shakespeare in Love
1999,Best Director,Steven Spielberg,Saving Private Ryan
2000,Best Actor,Kevin Spacey,American Beauty
2000,Best Actress,Hilary Swank,Boys Don't Cry
2000,Best Director,Sam Mendes,American Beauty
2001,Best Actor,Russell Crowe,Gladiator
2001,Best Actress,Julia Roberts,Erin Brockovich
2001,Best Director,Steven Soderbergh,Traffic
2002,Best Actor,Denzel Washington,Training Day
2002,Best Actress,Halle Berry,Monster's Ball
2002,Best Director,Ron Howard,A Beautiful Mind
2003,Best Actor,Adrien Brody,The Pianist
2003,Best Actress,Nicole Kidman,The Hours
2003,Best Director,Roman Polanski,The Pianist
2004,Best Actor,Sean Penn,Mystic River
2004,Best Actress,Charlize Theron,Monster
2004,Best Director,Peter Jackson,The Lord of the Rings: The Return of the King
2005,Best Director,Clint Eastwood,Million Dollar Baby
2005,Best Actor,Jamie Foxx,Ray
2005,Best Actress,Hilary Swank,Million Dollar Baby
2006,Best Director,Ang Lee,Brokeback Mountain
2006,Best Actor,Philip Seymour Hoffman,Capote
2006,Best Actress,Reese Witherspoon,Walk the Line
2007,Best Director,Martin Scorsese,The Departed
2007,Best Actor,Forest Whitaker,The Last King of Scotland
2007,Best Actress,Helen Mirren,The Queen
2008,Best Director,Ethan Coen,No Country for Old Men
2008,Best Actor,Daniel Day-Lewis,There Will Be Blood
2008,Best Actress,Marion Cotillard,La Vie En Rose
2009,Best Director,Danny Boyle,Slumdog Millionaire
2009,Best Actor,Sean Penn,Milk
2009,Best Actress,Kate Winslet,The Reader
2010,Best Director,Kathryn Bigelow,The Hurt Locker
2010,Best Actor,Jeff Bridges,Crazy Heart
2010,Best Actress,Sandra Bullock,The Blind Side
2011,Best Director,Tom Hooper,The King's Speech
2011,Best Actor,Colin Firth,The King's Speech
2011,Best Actress,Natalie Portman,Black Swan
2012,Best Director,Michel Hazanavicius,The Artist
2012,Best Actor,Jean Dujardin,The Artist
2012,Best Actress,Meryl Streep,The Iron Lady
2013,Best Director,Ang Lee,Life of Pi
2013,Best Actor,Daniel Day-Lewis,Lincoln
2013,Best Actress,Jennifer Lawrence,Silver Linings Playbook
2014,Best Director,Alfonso Cuarón,Gravity
2014,Best Actor,Matthew McConaughey,Dallas Buyers Club
2014,Best Actress,Cate Blanchett,Blue Jasmine
2015,Best Director,Alejandro G. Iñárritu,Birdman or (The Unexpected Virtue of Ignorance)
2015,Best Actor,Eddie Redmayne,The Theory of Everything
2015,Best Actress,Julianne Moore,Still Alice
2016,Best Director,Alejandro G. Iñárritu,The Revenant
2016,Best Actor,Leonardo DiCaprio,The Revenant
2016,Best Actress,Brie Larson,Room
2017,Best Director,Damien Chazelle,La La Land
2017,Best Actor,Casey Affleck,Manchester by the Sea
2017,Best Actress,Emma Stone,La La Land
2018,Best Director,Guillermo del Toro,The Shape of Water
2018,Best Actor,Gary Oldman,Darkest Hour
2018,Best Actress,Frances McDormand,"Three Billboards Outside Ebbing, Missouri"
2019,Best Director,Alfonso Cuarón,Roma
2019,Best Actor,Rami Malek,Bohemian Rhapsody
2019,Best Actress,Olivia Colman,The Favourite
2020,Best Director,Bong Joon Ho,Parasite
2020,Best Actor,Joaquin Phoenix,Joker
2020,Best Actress,Renée Zellweger,Judy
2021,Best Director,Chloé Zhao,Nomadland
2021,Best Actor,Anthony Hopkins,The Father
2021,Best Actress,Frances McDormand,Nomadland
2022,Best Director,Jane Campion,The Power of the Dog
2022,Best Actor,Will Smith,King Richard
2022,Best Actress,Jessica Chastain,The Eyes of Tammy Faye
