web-scraper-order,web-scraper-start-url,title,detail,detail-href,year,rate,duration_hour,duration_min,duration,imdb_rating,num_vote,num_vote_clean,release_date,release_date_country,date,day,month,year,gross_us_can,gross_opening_weekend,gross_worldwide
1647963707-127,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Devil,Devil,https://www.imdb.com/title/tt1314655/?ref_=adv_li_tt,2010,PG-13,1h,20m,80,6.3,143K,143000,"September 30, 2010 (Thailand)",Thailand,30-Sep-10,30,Sep,2010,"$33,601,190 ","$12,289,375 ","$62,695,489 "
1647967775-975,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Princess Diaries,The Princess Diaries,https://www.imdb.com/title/tt0247638/?ref_=adv_li_tt,2001,G,1h,55m,115,6.3,140K,140000,"August 3, 2001 (United States)",United States,03-Aug-01,03,Aug,2001,"$108,248,956 ","$22,862,269 ","$165,335,153 "
1647964746-352,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",You've Got Mail,You've Got Mail,https://www.imdb.com/title/tt0128853/?ref_=adv_li_tt,1998,PG,1h,59m,119,6.7,208K,208000,"February 5, 1999 (Thailand)",Thailand,05-Feb-99,05,Feb,1999,"$115,821,495 ","$18,426,749 ","$250,821,495 "
1647963592-102,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Crank: High Voltage,Crank: High Voltage,https://www.imdb.com/title/tt1121931/?ref_=adv_li_tt,2009,R,1h,36m,96,6.2,148K,148000,"April 17, 2009 (United States)",United States,17-Apr-09,17,Apr,2009,"$13,684,249 ","$6,963,565 ","$34,572,541 "
1647966523-708,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Underworld,Underworld,https://www.imdb.com/title/tt0320691/?ref_=adv_li_tt,2003,R,2h,1m,121,7,265K,265000,"September 19, 2003 (United Kingdom)",United Kingdom,19-Sep-03,19,Sep,2003,"$51,970,690 ","$21,753,759 ","$95,708,457 "
1647970026-1453,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Big,Big,https://www.imdb.com/title/tt0094737/?ref_=adv_li_tt,1988,PG,1h,44m,104,7.3,214K,214000,"June 3, 1988 (United States)",United States,03-Jun-88,03,Jun,1988,"$115,227,281 ","$8,216,190 ","$151,927,281 "
1647977179-2993,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Joy Ride,Joy Ride,https://www.imdb.com/title/tt0206314/?ref_=adv_li_tt,2001,R,1h,37m,97,6.6,68K,68000,"October 5, 2001 (United States)",United States,05-Oct-01,05,Oct,2001,"$21,974,919 ","$7,347,259 ","$36,642,838 "
1647968175-1061,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Oblivion,Oblivion,https://www.imdb.com/title/tt1483013/?ref_=adv_li_tt,2013,PG-13,2h,4m,124,7,511K,511000,"April 19, 2013 (United States)",United States,19-Apr-13,19,Apr,2013,"$89,107,235 ","$37,054,485 ","$286,168,572 "
1647970084-1465,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Zootopia,Zootopia,https://www.imdb.com/title/tt2948356/?ref_=adv_li_tt,2016,G,1h,48m,108,8,477K,477000,"February 25, 2016 (Thailand)",Thailand,25-Feb-16,25,Feb,2016,"$341,268,248 ","$75,063,401 ","$1,024,121,104 "
1647974870-2486,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Jersey Girl,Jersey Girl,https://www.imdb.com/title/tt0300051/?ref_=adv_li_tt,2004,PG-13,1h,42m,102,6.2,66K,66000,"May 7, 2004 (Thailand)",Thailand,07-May-04,07,May,2004,"$25,268,157 ","$8,300,000 ","$35,492,921 "
1647970399-1534,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Village,The Village,https://www.imdb.com/title/tt0368447/?ref_=adv_li_tt,2004,PG-13,1h,48m,108,6.6,256K,256000,"August 26, 2004 (Thailand)",Thailand,26-Aug-04,26,Aug,2004,"$114,197,520 ","$50,746,142 ","$256,697,520 "
1647965129-424,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Final Destination 3,Final Destination 3,https://www.imdb.com/title/tt0414982/?ref_=adv_li_tt,2006,R,1h,33m,93,5.8,139K,139000,"February 9, 2006 (Thailand)",Thailand,09-Feb-06,09,Feb,2006,"$54,098,051 ","$20,125,000 ","$118,890,272 "
1647969203-1281,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250","Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri",https://www.imdb.com/title/tt5027774/?ref_=adv_li_tt,2017,R,1h,55m,115,8.1,485K,485000,"March 8, 2018 (Thailand)",Thailand,08-Mar-18,08,Mar,2018,"$54,513,740 ","$322,168 ","$160,260,573 "
1647977706-3107,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Pompeii,Pompeii,https://www.imdb.com/title/tt1921064/?ref_=adv_li_tt,2014,15,1h,45m,105,5.5,110K,110000,"February 21, 2014 (Canada)",Canada,21-Feb-14,21,Feb,2014,"$23,219,748 ","$10,340,823 ","$117,831,631 "
1647966888-785,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Philadelphia,Philadelphia,https://www.imdb.com/title/tt0107818/?ref_=adv_li_tt,1993,PG-13,2h,5m,125,7.7,237K,237000,"January 14, 1994 (United States)",United States,14-Jan-94,14,Jan,1994,"$77,446,440 ","$143,433 ","$206,678,440 "
1647969428-1328,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",A.I. Artificial Intelligence,A.I. Artificial Intelligence,https://www.imdb.com/title/tt0212720/?ref_=adv_li_tt,2001,PG-13,2h,26m,146,7.2,303K,303000,"June 29, 2001 (United States)",United States,29-Jun-01,29,Jun,2001,"$78,616,689 ","$29,352,630 ","$235,926,552 "
1647977063-2967,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Before the Devil Knows You're Dead,Before the Devil Knows You're Dead,https://www.imdb.com/title/tt0292963/?ref_=adv_li_tt,2007,R,1h,57m,117,7.3,103K,103000,"October 26, 2007 (United States)",United States,26-Oct-07,26,Oct,2007,"$7,084,227 ","$73,837 ","$25,038,466 "
