,title,pcom
51,Battlefield Earth,Morgan Creek Entertainment
51,Battlefield Earth,Franchise Pictures
52,Asterix & Obelix: Mission Cleopatra,Canal+
52,Asterix & Obelix: Mission Cleopatra,Centre national du cinéma et de l'image animée (CNC)
52,Asterix & Obelix: Mission Cleopatra,Chez Wam
53,The Neon Demon,Space Rocket Nation
53,The Neon Demon,Vendian Entertainment
53,The Neon Demon,Bold Films
54,House of 1000 Corpses,Spectacle Entertainment Group
54,House of 1000 Corpses,Universal Pictures
55,Hoodwinked,The Weinstein Company
55,Hoodwinked,Kanbar Entertainment
55,Hoodwinked,Kanbar Animation
56,THX 1138,American Zoetrope
56,THX 1138,Warner Bros.
57,Horns,Red Granite Pictures
57,Horns,Mandalay Pictures
58,Dreamgirls,Dreamworks Pictures
58,Dreamgirls,Paramount Pictures
58,Dreamgirls,Laurence Mark Productions
59,Fright Night,Dreamworks Pictures
59,Fright Night,Reliance Entertainment
59,Fright Night,Michael De Luca Productions
60,Chain Reaction,3 Arts Entertainment
60,Chain Reaction,Chicago Pacific Entertainment
60,Chain Reaction,Sprockets Music
61,Tristan + Isolde,Twentieth Century Fox
61,Tristan + Isolde,Scott Free Productions
61,Tristan + Isolde,ApolloProMedia GmbH & Co. 1. Filmproduktion KG (I)
62,Three Colors: Blue,MK2 Productions
62,Three Colors: Blue,CED Productions
62,Three Colors: Blue,France 3 Cinéma
63,Fruitvale Station,OG Project
63,Fruitvale Station,Significant Productions
64,"Jeff, Who Lives at Home",Indian Paintbrush
64,"Jeff, Who Lives at Home",Jeff Brothers Productions
64,"Jeff, Who Lives at Home",Mr. Mudd
65,Romeo Must Die,Warner Bros.
65,Romeo Must Die,Silver Pictures
66,Cheaper by the Dozen 2,Twentieth Century Fox
66,Cheaper by the Dozen 2,21 Laps Entertainment
66,Cheaper by the Dozen 2,Dozen Canada Productions
67,George of the Jungle,Walt Disney Pictures
67,George of the Jungle,Mandeville Films
67,George of the Jungle,Avnet/Kerner Productions
68,The Whole Nine Yards,Franchise Pictures
68,The Whole Nine Yards,Lansdown Films
68,The Whole Nine Yards,Mel's Cite du Cinema
69,Volver,Canal+ España
69,Volver,El Deseo
69,Volver,Ministerio de Cultura
70,Open Your Eyes,Canal+ España
70,Open Your Eyes,Las Producciones del Escorpión
70,Open Your Eyes,Les Films Alain Sarde
71,The Station Agent,SenArt Films
71,The Station Agent,Next Wednesday Productions
71,The Station Agent,The Station Agent
72,The Possession,Ghost House Pictures
72,The Possession,North Box Productions
73,Friday the 13th,New Line Cinema
73,Friday the 13th,Paramount Pictures
73,Friday the 13th,Platinum Dunes
74,Weekend at Bernie's,Gladden Entertainment
75,Pale Rider,The Malpaso Company
76,The Purge: Election Year,Universal Pictures
76,The Purge: Election Year,Platinum Dunes
76,The Purge: Election Year,Blumhouse Productions
77,End of Days,Beacon Communications
77,End of Days,Beacon Pictures
77,End of Days,Lucifilms
78,The Mexican,Dreamworks Pictures
78,The Mexican,Newmarket Capital Group
78,The Mexican,Lawrence Bender Productions
79,Marie Antoinette,Columbia Pictures
79,Marie Antoinette,Pricel
79,Marie Antoinette,Tohokushinsha Film Corporation (TFC)
80,Mirrors,New Regency Productions
80,Mirrors,New Regency Productions
80,Mirrors,Luna Pictures
81,Bicentennial Man,1492 Pictures
81,Bicentennial Man,Columbia Pictures
81,Bicentennial Man,Laurence Mark Productions
82,Mirage,Atresmedia Cine
82,Mirage,Atresmedia
82,Mirage,Audiovisual Aval SGR
83,Runner Runner,New Regency Productions
83,Runner Runner,New Regency Productions
83,Runner Runner,Appian Way
84,Legend,Legend Production Company
84,Legend,Embassy International Pictures
85,Julie & Julia,Columbia Pictures
85,Julie & Julia,Easy There Tiger Productions
85,Julie & Julia,Scott Rudin Productions
86,Catwoman,Warner Bros.
86,Catwoman,Village Roadshow Pictures
86,Catwoman,DiNovi Pictures
87,The Ring Two,Dreamworks Pictures
87,The Ring Two,BenderSpink
87,The Ring Two,Parkes/MacDonald Image Nation
88,Entourage,Warner Bros.
88,Entourage,Home Box Office (HBO)
88,Entourage,RatPac Entertainment
89,The Man from Nowhere,Cinema Service
89,The Man from Nowhere,Opus Pictures
89,The Man from Nowhere,United Pictures
90,High Plains Drifter,The Malpaso Company
91,Power Rangers,Lionsgate
91,Power Rangers,TIK Films
91,Power Rangers,Temple Hill Entertainment
92,The Golden Child,Paramount Pictures
92,The Golden Child,Eddie Murphy Productions
92,The Golden Child,Industrial Light & Magic (ILM)
93,A Cure for Wellness,New Regency Productions
93,A Cure for Wellness,Blind Wink Productions
93,A Cure for Wellness,New Regency Productions
94,The Unborn,Rogue Pictures
94,The Unborn,Platinum Dunes
94,The Unborn,Phantom Four Films
95,G.O.R.A.,BKM
95,G.O.R.A.,Bocek Yapim
95,G.O.R.A.,Böcek Film
96,Judge Dredd,Hollywood Pictures
96,Judge Dredd,Cinergi Pictures Entertainment
96,Judge Dredd,Cinergi Productions N.V.
97,Absolute Power,Castle Rock Entertainment
97,Absolute Power,Malpaso Productions
98,The Hudsucker Proxy,PolyGram Filmed Entertainment
98,The Hudsucker Proxy,PolyGram Filmproduktion
98,The Hudsucker Proxy,Silver Pictures
99,Delivery Man,Dreamworks Pictures
99,Delivery Man,Reliance Entertainment
99,Delivery Man,Caramel Film
100,The Producers,Crossbow Productions
100,The Producers,Springtime Productions
100,The Producers,U-M Productions
101,The Night Before,Columbia Pictures
101,The Night Before,Good Universe
101,The Night Before,LStar Capital
102,Bride of Chucky,Universal Pictures
102,Bride of Chucky,Midwinter Productions Inc.
103,Following,Next Wave Films
103,Following,Syncopy
104,Velvet Buzzsaw,Netflix
105,Final Fantasy: The Spirits Within,Chris Lee Productions
105,Final Fantasy: The Spirits Within,Square Company
105,Final Fantasy: The Spirits Within,Square USA
106,Happy Death Day 2U,Blumhouse Productions
106,Happy Death Day 2U,Dentsu
106,Happy Death Day 2U,Digital Riot Media
107,Proof of Life,Castle Rock Entertainment
