,title,pcom
995,Flipped,Castle Rock Entertainment
996,Wag the Dog,Baltimore Pictures
996,Wag the Dog,New Line Cinema
996,Wag the Dog,Punch Productions
997,Out of Africa,Mirage Enterprises
998,Primer,ERBP
999,Premonition,TriStar Pictures
999,Premonition,Metro-Goldwyn-Mayer (MGM)
999,Premonition,Hyde Park Entertainment
1000,Captive State,Participant
1000,Captive State,Lightfuse & Gettaway
1000,Captive State,Amblin Partners
1001,The Hunt,Blumhouse Productions
1001,The Hunt,Dentsu
1002,Ida,Opus Film
1002,Ida,Phoenix Film Investments
1002,Ida,Canal+ Polska
1003,Dil Chahta Hai,Excel Entertainment
1004,The King of Comedy,Embassy International Pictures
1005,Speed Racer,Warner Bros.
1005,Speed Racer,Village Roadshow Pictures
1005,Speed Racer,Silver Pictures
1006,Persepolis,2.4.7. Films
1006,Persepolis,France 3 Cinéma
1006,Persepolis,The Kennedy/Marshall Company
1007,Monster House,Columbia Pictures
1007,Monster House,Relativity Media
1007,Monster House,ImageMovers
1008,The Pledge,Morgan Creek Entertainment
1008,The Pledge,Franchise Pictures
1008,The Pledge,Clyde Is Hungry Films
1009,The Kissing Booth,Netflix
1009,The Kissing Booth,Komixx Entertainment
1009,The Kissing Booth,iGeneration Studios
1010,Don Juan DeMarco,New Line Cinema
1010,Don Juan DeMarco,American Zoetrope
1010,Don Juan DeMarco,Juno Pix
1011,Master,B4U Motion Pictures
1011,Master,Seven Screen Studio
1011,Master,X.B. Film Creators
1012,Dawn of the Dead,Laurel Group
1012,Dawn of the Dead,Dawn Associates
1013,Murder on the Orient Express,EMI Film Distributors
1013,Murder on the Orient Express,G.W. Films Limited
1014,Soorarai Pottru,2D Entertainment
1014,Soorarai Pottru,Sikhya Entertainment
1015,K.G.F: Chapter 1,Hombale Films
1016,"Spring, Summer, Fall, Winter... and Spring",Korea Pictures
1016,"Spring, Summer, Fall, Winter... and Spring",LJ Film
1016,"Spring, Summer, Fall, Winter... and Spring",Pandora Filmproduktion
1017,A Bridge Too Far,Joseph E. Levine Productions
1018,I Feel Pretty,Huayi Brothers Pictures
1018,I Feel Pretty,Voltage Pictures
1018,I Feel Pretty,Wonderland Sound and Vision
1019,Swiss Army Man,Astrakan Films
1019,Swiss Army Man,Blackbird
1019,Swiss Army Man,Cold Iron Pictures
1020,Baahubali: The Beginning,Arka Mediaworks
1021,A Very Harold & Kumar Christmas,New Line Cinema
1021,A Very Harold & Kumar Christmas,Mandate Pictures
1021,A Very Harold & Kumar Christmas,Kingsgate Films
1022,Around the World in 80 Days,Walt Disney Pictures
1022,Around the World in 80 Days,Walden Media
1022,Around the World in 80 Days,Spanknyce Films
1023,The Spy Who Dumped Me,Imagine Entertainment
1023,The Spy Who Dumped Me,Lionsgate
1023,The Spy Who Dumped Me,BRON Studios
1024,The Best of Me,DiNovi Pictures
1024,The Best of Me,Relativity Media
1025,Clue,Paramount Pictures
1025,Clue,The Guber-Peters Company
1025,Clue,PolyGram Filmed Entertainment
1026,The Flintstones,Universal Pictures
1026,The Flintstones,Amblin Entertainment
1026,The Flintstones,Hanna-Barbera Productions
1027,Season of the Witch,Atlas Entertainment
1027,Season of the Witch,Relativity Media
1028,Miami Vice,Universal Pictures
1028,Miami Vice,Motion Picture ETA Produktionsgesellschaft
1028,Miami Vice,Forward Pass
1029,Open Water,Plunge Pictures LLC
1030,House at the End of the Street,Relativity Media
1030,House at the End of the Street,FilmNation Entertainment
1030,House at the End of the Street,A Bigger Boat
1031,What a Girl Wants,Warner Bros.
1031,What a Girl Wants,Gaylord Films
1031,What a Girl Wants,DiNovi Pictures
1032,Original Sin,Metro-Goldwyn-Mayer (MGM)
1032,Original Sin,Hyde Park Entertainment
1032,Original Sin,Via Rosa Productions
1033,Masterminds,Broadway Video
1033,Masterminds,Michaels Goldwyn
1033,Masterminds,Relativity Media
1034,Wonder Boys,Mutual Film Company
1034,Wonder Boys,British Broadcasting Corporation (BBC)
1034,Wonder Boys,Marubeni
1035,Lolita,A.A. Productions Ltd.
1035,Lolita,Anya
1035,Lolita,Harris-Kubrick Productions
1036,Heathers,New World Pictures
1036,Heathers,Cinemarque Entertainment
1037,Sense and Sensibility,Columbia Pictures
1037,Sense and Sensibility,Mirage Enterprises
1038,Rumor Has It...,Warner Bros.
1038,Rumor Has It...,Village Roadshow Pictures
1038,Rumor Has It...,Section Eight
1039,Punisher: War Zone,Lionsgate
1039,Punisher: War Zone,Marvel Knights
1039,Punisher: War Zone,Marvel Studios
1040,Sexy Beast,Recorded Picture Company (RPC)
1040,Sexy Beast,FilmFour
1040,Sexy Beast,Chronopolis Films
1041,The Color of Money,Touchstone Pictures
1041,The Color of Money,Silver Screen Partners II
1042,An Officer and a Gentleman,Lorimar Film Entertainment
1042,An Officer and a Gentleman,Paramount Pictures
1043,Mystery Men,Universal Pictures
1043,Mystery Men,Golar Productions
1043,Mystery Men,Dark Horse Entertainment
1044,The Guest,HanWay Films
1044,The Guest,Snoot Entertainment
1045,Urban Legend,Phoenix Pictures
1045,Urban Legend,Canal+ Droits Audiovisuels
1045,Urban Legend,Original Film
1046,Save the Last Dance,Cort/Madden Productions
1046,Save the Last Dance,MTV Films
1047,The City of Lost Children,Constellation
1047,The City of Lost Children,Lumière Pictures
1047,The City of Lost Children,Le Studio Canal+
1048,Fifty Shades Freed,Perfect World Pictures
1048,Fifty Shades Freed,Universal Pictures
1049,Snitch,Exclusive Media Group
1049,Snitch,Participant
1049,Snitch,Imagenation Abu Dhabi FZ
1050,Kalifornia,PolyGram Filmed Entertainment
1050,Kalifornia,Viacom Productions
1050,Kalifornia,Propaganda Films
1051,Grandma's Boy,Twentieth Century Fox
1051,Grandma's Boy,Level 1 Entertainment
1051,Grandma's Boy,Happy Madison Productions
1052,Ouija,Universal Pictures
1052,Ouija,Platinum Dunes
1052,Ouija,Blumhouse Productions
1053,Kal Ho Naa Ho,Dharma Productions
1054,A Dangerous Method,Recorded Picture Company (RPC)
1054,A Dangerous Method,Lago Film
1054,A Dangerous Method,Prospero Pictures
1055,Year One,Columbia Pictures
1055,Year One,Ocean Pictures
1055,Year One,Apatow Productions
1056,Hackers,United Artists
1056,Hackers,Suftley
1057,Finch,Amblin Partners
1057,Finch,Apple Original Films
1057,Finch,Dutch Angle
1058,National Lampoon's Animal House,Universal Pictures
1058,National Lampoon's Animal House,Oregon Film Factory
1058,National Lampoon's Animal House,Stage III Productions
1059,In the Mouth of Madness,New Line Cinema
1060,Driving Miss Daisy,The Zanuck Company
1060,Driving Miss Daisy,Allied Filmmakers
1060,Driving Miss Daisy,Majestic Films International
1061,Appaloosa,New Line Cinema
1061,Appaloosa,Axon Films
1061,Appaloosa,Groundswell Productions
1062,Freddy vs. Jason,New Line Cinema
1062,Freddy vs. Jason,Avery Pix
1062,Freddy vs. Jason,Crystal Lake Entertainment
1063,Paddington,StudioCanal
1063,Paddington,Anton
1063,Paddington,TF1 Films Production
1064,Funny Games,Filmfonds Wien
1064,Funny Games,Wega Film
1064,Funny Games,Österreichischer Rundfunk (ORF)
1065,Timeline,Paramount Pictures
1065,Timeline,Mutual Film Company
1065,Timeline,Donners' Company
1066,In the Heat of the Night,The Mirisch Corporation
1067,Paranormal Activity 2,Paramount Pictures
1067,Paranormal Activity 2,Blumhouse Productions
1067,Paranormal Activity 2,Solana Films
1068,The Quick and the Dead,TriStar Pictures
1068,The Quick and the Dead,Japan Satellite Broadcasting (JBS)
1068,The Quick and the Dead,IndieProd Company Productions
1069,Flubber,Walt Disney Pictures
1069,Flubber,Great Oaks Entertainment
1070,Short Term 12,Animal Kingdom
1070,Short Term 12,Traction Media
1071,Edge of Darkness,Warner Bros.
1071,Edge of Darkness,GK Films
1071,Edge of Darkness,BBC Films
1072,Chariots of Fire,Enigma Productions
1072,Chariots of Fire,Allied Stars Ltd.
1073,Nutty Professor II: The Klumps,Universal Pictures
1073,Nutty Professor II: The Klumps,Imagine Entertainment
1073,Nutty Professor II: The Klumps,Shady Acres Entertainment
1074,The Final Destination,New Line Cinema
1074,The Final Destination,Practical Pictures
1074,The Final Destination,Parallel Zide
1075,House on Haunted Hill,Dark Castle Entertainment
1076,Project Almanac,Insurge Pictures
1076,Project Almanac,Platinum Dunes
1076,Project Almanac,MTV Films
1077,Can You Ever Forgive Me?,Archer Gray
1077,Can You Ever Forgive Me?,Bob Industries
1077,Can You Ever Forgive Me?,Fox Searchlight Pictures
1078,The Basketball Diaries,New Line Cinema
1078,The Basketball Diaries,Island Pictures
1079,Hamilton,Walt Disney Pictures
1079,Hamilton,5000 Broadway Productions
1079,Hamilton,Nevis Productions
1080,Apollo 18,Dimension Films
1080,Apollo 18,Bekmambetov Projects Ltd. (BPL)
1080,Apollo 18,Apollo 18 Productions
1081,Awake,The Weinstein Company
1081,Awake,GreeneStreet Films
1081,Awake,Open City Films
1082,Meet the Spartans,New Regency Productions
1083,House of Gucci,BRON Studios
1083,House of Gucci,Metro-Goldwyn-Mayer (MGM)
1083,House of Gucci,Scott Free Productions
1084,Lake Placid,Fox 2000 Pictures
1084,Lake Placid,Phoenix Pictures
1084,Lake Placid,Rocking Chair Productions
1085,Run Fatboy Run,Beech Hill Films
1085,Run Fatboy Run,Entertainment Films
1085,Run Fatboy Run,Material Entertainment
1086,Along Came a Spider,Paramount Pictures
1086,Along Came a Spider,David Brown Productions
1086,Along Came a Spider,Phase 1 Productions
1087,Freaky,Blumhouse Productions
1087,Freaky,Divide/Conquer
1088,The Motorcycle Diaries,FilmFour
1088,The Motorcycle Diaries,Wildwood Enterprises
1088,The Motorcycle Diaries,Tu Vas Voir Productions
1089,Any Given Sunday,Warner Bros.
1089,Any Given Sunday,Ixtlan
1089,Any Given Sunday,Donners' Company
1090,Sabrina,Paramount Pictures
1091,M.S. Dhoni: The Untold Story,Fox STAR Studios
1091,M.S. Dhoni: The Untold Story,Friday Filmworks
1091,M.S. Dhoni: The Untold Story,Inspired Entertainment
1092,Police Academy 2: Their First Assignment,Warner Bros.
1092,Police Academy 2: Their First Assignment,The Ladd Company
1093,Overboard,Metro-Goldwyn-Mayer (MGM)
1093,Overboard,Star Partners
1093,Overboard,Hawn / Sylbert Movie Company
1094,King Kong,RKO Radio Pictures
1095,A Goofy Movie,Walt Disney Pictures
1095,A Goofy Movie,Disney Television Animation
1095,A Goofy Movie,Disneytoon Studios
1096,Pete's Dragon,Walt Disney Pictures
1096,Pete's Dragon,Whitaker Entertainment I
1097,Mercury Rising,Universal Pictures
1097,Mercury Rising,Imagine Entertainment
1098,Dante's Peak,Universal Pictures
1098,Dante's Peak,Pacific Western
1099,A Night at the Roxbury,Broadway Pictures
1099,A Night at the Roxbury,Paramount Pictures
1099,A Night at the Roxbury,SNL Studios
1100,Army of Thieves,Pantaleon Films
1100,Army of Thieves,The Stone Quarry
1100,Army of Thieves,Film United
1101,The Wolfman,Universal Pictures
1101,The Wolfman,Relativity Media
1101,The Wolfman,Bluegrass Films
1102,Out of Sight,Universal Pictures
1102,Out of Sight,Jersey Films
1103,Traitor,Overture Films
1103,Traitor,Mandeville Films
1103,Traitor,Hyde Park Entertainment
1104,The Courier,42
1104,The Courier,FilmNation Entertainment
1104,The Courier,SunnyMarch
1105,Daddy's Home,Paramount Pictures
1105,Daddy's Home,Red Granite Pictures
1105,Daddy's Home,Gary Sanchez Productions
1106,Peter Pan,Universal Pictures
1106,Peter Pan,Columbia Pictures
1106,Peter Pan,Revolution Studios
1107,Circle,Felt Films
1107,Circle,Taggart Productions
1107,Circle,Votiv Films
1108,The Living Daylights,Eon Productions
1109,Dead Man,Pandora Filmproduktion
1109,Dead Man,JVC Entertainment Networks
1109,Dead Man,Newmarket Capital Group
1110,Spirit: Stallion of the Cimarron,DreamWorks Animation
1110,Spirit: Stallion of the Cimarron,Dreamworks Pictures
1111,Bad Education,Canal+ España
1111,Bad Education,El Deseo
1111,Bad Education,Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA)
1112,Reis,Kafkasör Film Akademisi
1113,I Spy,Columbia Pictures
1113,I Spy,Tall Trees Productions
1113,I Spy,C-2 Pictures
1114,Demolition,Black Label Media
1114,Demolition,Mr. Mudd
1114,Demolition,Right of Way Films
1115,The Ice Storm,Fox Searchlight Pictures
1115,The Ice Storm,Good Machine
1115,The Ice Storm,Canal+ Droits Audiovisuels
1116,Pompeii,TriStar Pictures
1116,Pompeii,FilmDistrict
1116,Pompeii,Constantin Film
1117,The French Dispatch,American Empirical Pictures
1117,The French Dispatch,Indian Paintbrush
1117,The French Dispatch,Studio Babelsberg
1118,Shine,Australian Film Finance Corporation (AFFC)
1118,Shine,Film Victoria
1118,Shine,Momentum Films
1119,Sky Captain and the World of Tomorrow,Paramount Pictures
1119,Sky Captain and the World of Tomorrow,Brooklyn Films II
1119,Sky Captain and the World of Tomorrow,Riff Raff Entertainment
1120,My Name Is Khan,Dharma Productions
1120,My Name Is Khan,Fox Searchlight Pictures
1120,My Name Is Khan,Fox Star Studios
1121,The Wedding Ringer,LStar Capital
1121,The Wedding Ringer,Miramax
1121,The Wedding Ringer,Screen Gems
1122,A Dog's Purpose,Dreamworks Pictures
1122,A Dog's Purpose,Walden Media
1122,A Dog's Purpose,Amblin Entertainment
1123,Martha Marcy May Marlene,Fox Searchlight Pictures
1123,Martha Marcy May Marlene,Maybach Film Productions
1123,Martha Marcy May Marlene,Cunningham & Maybach Films
1124,Lolita.1,Guild
1124,Lolita.1,Lolita Productions
1124,Lolita.1,Pathe UK
1125,Pretty in Pink,Paramount Pictures
1126,The Light Between Oceans,Heyday Films
1126,The Light Between Oceans,LBO Productions (II)
1126,The Light Between Oceans,Dreamworks Pictures
1127,Stripes,Columbia Pictures
1128,Lee Daniels' The Butler,Follow Through Productions
1128,Lee Daniels' The Butler,Salamander Pictures
1128,Lee Daniels' The Butler,Laura Ziskin Productions
1129,The King of Staten Island,Universal Pictures
1129,The King of Staten Island,Perfect World Pictures
1129,The King of Staten Island,Apatow Productions
1130,Youth,Indigo Film
1130,Youth,Barbary Films
1130,Youth,Pathé
1131,The Siege,Twentieth Century Fox
1131,The Siege,Lynda Obst Productions
1131,The Siege,The Bedford Falls Company
1132,Mr. Popper's Penguins,Twentieth Century Fox
1132,Mr. Popper's Penguins,Davis Entertainment
1132,Mr. Popper's Penguins,Dune Entertainment
1133,Street Fighter,Capcom Entertainment
1133,Street Fighter,Edward R. Pressman Productions
1134,Grosse Pointe Blank,Hollywood Pictures
1134,Grosse Pointe Blank,Caravan Pictures
1134,Grosse Pointe Blank,New Crime Productions
1135,Friday the 13th Part 2,Georgetown Productions Inc.
1135,Friday the 13th Part 2,Sean S. Cunningham Films
1136,Water for Elephants,Fox 2000 Pictures
1136,Water for Elephants,3 Arts Entertainment
1136,Water for Elephants,Flashpoint Entertainment
1137,Hart's War,Cheyenne Enterprises
1137,Hart's War,David Foster Productions
1137,Hart's War,David Ladd Films
1138,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Island Pictures
1138,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Ivory Way Productions
1139,The Painted Veil,WIP
1139,The Painted Veil,Stratus Film Co.
1139,The Painted Veil,Bob Yari Productions
1140,Scrooged,Paramount Pictures
1140,Scrooged,Mirage Productions
1141,Quills,Fox Searchlight Pictures
1141,Quills,Industry Entertainment
1141,Quills,Walrus & Associates
1142,Casanova,Touchstone Pictures
1142,Casanova,The Mark Gordon Company
1142,Casanova,Gondola Pictures
1143,Sunshine Cleaning,Overture Films
1143,Sunshine Cleaning,Big Beach Films
1143,Sunshine Cleaning,Back Lot Pictures
1144,Sound of Metal,Caviar
1144,Sound of Metal,Flat 7 Productions
1144,Sound of Metal,Ward Four
1145,Licorice Pizza,Metro-Goldwyn-Mayer (MGM)
1145,Licorice Pizza,BRON Studios
1145,Licorice Pizza,Focus Features
1146,Priest,Screen Gems
1146,Priest,Michael De Luca Productions
1146,Priest,Stars Road Entertainment
1147,Land of the Lost,Universal Pictures
1147,Land of the Lost,Relativity Media
1147,Land of the Lost,Sid & Marty Krofft Pictures
1148,Like Crazy,Paramount Vantage
1148,Like Crazy,Indian Paintbrush
1148,Like Crazy,Super Crispy Entertainment
1149,Lady Vengeance,CJ Entertainment
1149,Lady Vengeance,CJ Capital Investment
1149,Lady Vengeance,Centurion Investment
1150,Self/less,Focus Features
1150,Self/less,Endgame Entertainment
1150,Self/less,FilmNation Entertainment
1151,Kiss the Girls,Paramount Pictures
1151,Kiss the Girls,Rysher Entertainment
1152,The Omen.1,Twentieth Century Fox
1152,The Omen.1,Harvey Bernhard Productions
1152,The Omen.1,Mace Neufeld Productions
1153,Heavenly Creatures,WingNut Films
1153,Heavenly Creatures,Fontana Productions
1153,Heavenly Creatures,New Zealand Film Commission
1154,Don 2,Excel Entertainment
1154,Don 2,Film Base Berlin
1154,Don 2,Film Base Berlin
1155,Little Nicky,Avery Pix
1155,Little Nicky,Happy Madison Productions
1155,Little Nicky,New Line Cinema
1156,Day of the Dead,United Film Distribution Company (UFDC)
1156,Day of the Dead,Laurel Entertainment Inc.
1157,Isn't It Romantic,BRON Studios
1157,Isn't It Romantic,Camp Sugar
1157,Isn't It Romantic,Creative Wealth Media Finance
1158,Angel Has Fallen,Millennium Media
1158,Angel Has Fallen,G-BASE
1158,Angel Has Fallen,Campbell Grobman Films
1159,Fallen,Turner Pictures (I)
1159,Fallen,Atlas Entertainment
1160,Red Eye,Dreamworks Pictures
1160,Red Eye,BenderSpink
1160,Red Eye,Craven-Maddalena Films
1161,Perfect Strangers,Lotus Production
1161,Perfect Strangers,Medusa Film
1161,Perfect Strangers,Leone Film Group
1162,Four Christmases,New Line Cinema
1162,Four Christmases,Spyglass Entertainment
1162,Four Christmases,Wild West Picture Show Productions
1163,Colombiana,EuropaCorp
1163,Colombiana,TF1 Films Production
1163,Colombiana,Grive Productions
1164,Sympathy for Mr. Vengeance,CJ Entertainment
1164,Sympathy for Mr. Vengeance,Discovery Venture Capital
1164,Sympathy for Mr. Vengeance,KTB Network
1165,Hellraiser,Film Futures
1165,Hellraiser,New World Pictures
1165,Hellraiser,New World Pictures
1166,The Sweetest Thing,Columbia Pictures
1166,The Sweetest Thing,Konrad Pictures
1167,Vacation,BenderSpink
1167,Vacation,David Dobkin Productions
1167,Vacation,New Line Cinema
1168,All Is Lost,Roadside Attractions
1168,All Is Lost,Before The Door Pictures
1168,All Is Lost,FilmNation Entertainment
1169,Star Trek VI: The Undiscovered Country,Paramount Pictures
1170,The Muppets,Walt Disney Pictures
1170,The Muppets,Mandeville Films
1170,The Muppets,The Muppets Studio
1171,The Little Things,Gran Via
1171,The Little Things,Warner Bros.
1172,Criminal,Summit Entertainment
1172,Criminal,BenderSpink
1172,Criminal,Campbell Grobman Films
1173,Trick 'r Treat,Warner Bros.
1173,Trick 'r Treat,Legendary Entertainment
1173,Trick 'r Treat,Bad Hat Harry Productions
1174,Ip Man 2,Golden Harvest Company
1174,Ip Man 2,Henan Film & TV Production Group Henan Film Studio
1174,Ip Man 2,Mandarin Films Distribution
1175,Good Luck Chuck,Lionsgate
1175,Good Luck Chuck,Karz Entertainment
1175,Good Luck Chuck,Province of British Columbia Production Services Tax Credit
1176,The Nutty Professor,Imagine Entertainment
1177,The Pink Panther,Mirisch G-E Productions
1178,Whiskey Tango Foxtrot,Broadway Video
1178,Whiskey Tango Foxtrot,Little Stranger
1178,Whiskey Tango Foxtrot,Paramount Pictures
1179,The Adventures of Baron Munchausen,Prominent Features
1179,The Adventures of Baron Munchausen,Laura Film
1179,The Adventures of Baron Munchausen,Allied Filmmakers
1180,Daddy Day Care,Revolution Studios
1180,Daddy Day Care,Davis Entertainment
1180,Daddy Day Care,Day Care Productions
1181,Frankenweenie,Walt Disney Pictures
1181,Frankenweenie,Tim Burton Productions
1182,A Prophet,Why Not Productions
1182,A Prophet,Chic Films
1182,A Prophet,Page 114
1183,"Love, Simon",Fox 2000 Pictures
1183,"Love, Simon",New Leaf Literary & Media
1183,"Love, Simon",Temple Hill Entertainment
1184,Winter's Tale,Village Roadshow Pictures
1184,Winter's Tale,Warner Bros.
1184,Winter's Tale,Weed Road Pictures
1185,It Happened One Night,Columbia Pictures
1186,The Client,Warner Bros.
1186,The Client,New Regency Productions
1186,The Client,Alcor Films
1187,Sneakers,Parkes/Lasker productions
1187,Sneakers,Universal Pictures
1188,The Man Who Knew Infinity,Pressman Film
1188,The Man Who Knew Infinity,Animus Films
1188,The Man Who Knew Infinity,Cayenne Pepper Productions
1189,Ip Man 3,Golden Harvest Company
1189,Ip Man 3,Dreams Salon Entertainment Culture
1189,Ip Man 3,Henan Film & TV Production Group Henan Film Studio
1190,The Forgotten,Revolution Studios
1190,The Forgotten,Jinks/Cohen Company
1190,The Forgotten,Visual Arts Entertainment
1191,Halloween III: Season of the Witch,Dino De Laurentiis Company
1191,Halloween III: Season of the Witch,Universal Pictures
1192,The Invitation,Gamechanger Films
1192,The Invitation,Lege Artis
1192,The Invitation,The Invitation
1193,Oldboy,Good Universe
1193,Oldboy,Vertigo Entertainment
1193,Oldboy,40 Acres & A Mule Filmworks
1194,Nikita,Gaumont
1194,Nikita,Les Films du Loup
1194,Nikita,Cecchi Gori Group Tiger Cinematografica
1195,Crazy Heart,Fox Searchlight Pictures
1195,Crazy Heart,Informant Media
1195,Crazy Heart,Butcher's Run Films
1196,The Spy Who Loved Me,Eon Productions
1197,The Giver,Tonik Productions
1197,The Giver,Asis Productions
1197,The Giver,Canada Film Capital
1198,Grudge Match,Callahan Filmworks
1198,Grudge Match,Gerber Pictures
1198,Grudge Match,RatPac-Dune Entertainment
1199,Halloween Kills,Universal Pictures
1199,Halloween Kills,Miramax
1199,Halloween Kills,Blumhouse Productions
1200,Poseidon,Warner Bros.
1200,Poseidon,Virtual Studios
1200,Poseidon,Radiant Productions
1201,Inherent Vice,Ghoulardi Film Company
1201,Inherent Vice,Warner Bros.
1201,Inherent Vice,IAC Films
1202,Detachment,Paper Street Films
1202,Detachment,Appian Way
1202,Detachment,Kingsgate Films
1203,Red Planet,Warner Bros.
1203,Red Planet,Village Roadshow Pictures
1203,Red Planet,NPV Entertainment
1204,Malena,Medusa Film
1204,Malena,Miramax
1204,Malena,Pacific Pictures
1205,Airheads,Twentieth Century Fox
1205,Airheads,Island World
1205,Airheads,Robert Simonds Productions
1206,Terms of Endearment,Paramount Pictures
1207,Downsizing,Paramount Pictures
1207,Downsizing,Ad Hominem Enterprises
1207,Downsizing,Gran Via Productions
1208,The Boat That Rocked,Universal Pictures
1208,The Boat That Rocked,StudioCanal
1208,The Boat That Rocked,Working Title Films
1209,Elephant,HBO Films
1209,Elephant,Fine Line Features
1209,Elephant,Meno Films
1210,Keeping the Faith,Spyglass Entertainment
1210,Keeping the Faith,Touchstone Pictures
1210,Keeping the Faith,Triple Threat Talent
1211,Eighth Grade,A24
1211,Eighth Grade,IAC Films
1212,Unfriended,Bazelevs Production
1212,Unfriended,Blumhouse Productions
1213,The International,Columbia Pictures
1213,The International,Relativity Media
1213,The International,Atlas Entertainment
1214,The Cobbler,Voltage Pictures
1214,The Cobbler,Next Wednesday Productions
1214,The Cobbler,Golden Spike (II)
1215,Bulletproof Monk,Metro-Goldwyn-Mayer (MGM)
1215,Bulletproof Monk,Lakeshore Entertainment
1215,Bulletproof Monk,Mosaic
1216,I Am Mother,The Penguin Empire
1216,I Am Mother,Southern Light Films
1216,I Am Mother,Rhea Films (II)
1217,Stalag 17,Paramount Pictures
1218,Youth in Revolt,Dimension Films
1218,Youth in Revolt,Permut Presentations
1218,Youth in Revolt,Shangri-La Entertainment
1219,Stand Up Guys,Lionsgate
1219,Stand Up Guys,Sidney Kimmel Entertainment
1219,Stand Up Guys,Lakeshore Entertainment
1220,Munna Bhai M.B.B.S.,Vinod Chopra Productions
1221,Case 39,Paramount Vantage
1221,Case 39,Misher Films
1221,Case 39,Anonymous Content
1222,A Beautiful Day in the Neighborhood,Big Beach Films
1222,A Beautiful Day in the Neighborhood,Tencent Pictures
1222,A Beautiful Day in the Neighborhood,TriStar Pictures
1223,Maverick,Donner/Shuler-Donner Productions
1223,Maverick,Icon Entertainment International
1223,Maverick,Icon Productions
1224,The Losers,Warner Bros.
1224,The Losers,Dark Castle Entertainment
1224,The Losers,Weed Road Pictures
1225,The White Ribbon,X-Filme Creative Pool
1225,The White Ribbon,Wega Film
1225,The White Ribbon,Les Films du Losange
1226,The Lucky One,Warner Bros.
1226,The Lucky One,Village Roadshow Pictures
1226,The Lucky One,DiNovi Pictures
1227,Baahubali 2: The Conclusion,Arka Mediaworks
1228,Vivarium,Lovely Productions
1228,Vivarium,Copenhagen Film Fund
1228,Vivarium,Creative Europe MEDIA
1229,Spy Kids 2: Island of Lost Dreams,Dimension Films
1229,Spy Kids 2: Island of Lost Dreams,Troublemaker Studios
1230,Unfaithful,Fox 2000 Pictures
1230,Unfaithful,New Regency Productions
1230,Unfaithful,Epsilon Motion Pictures
1231,The Stepford Wives,Paramount Pictures
1231,The Stepford Wives,Dreamworks Pictures
1231,The Stepford Wives,Scott Rudin Productions
1232,Child's Play 2,Universal Pictures
1233,A Lot Like Love,Touchstone Pictures
1233,A Lot Like Love,Mile High Productions
1233,A Lot Like Love,Beacon Pictures
1234,The Autopsy of Jane Doe,42
1234,The Autopsy of Jane Doe,IM Global
1234,The Autopsy of Jane Doe,Impostor Pictures
1235,"Paris, Texas",Road Movies Filmproduktion
1235,"Paris, Texas",Argos Films
1235,"Paris, Texas",Westdeutscher Rundfunk (WDR)
1236,Departures,Amuse Soft
1236,Departures,Asahi Shimbun
1236,Departures,Dentsu
1237,Overlord,Bad Robot
1237,Overlord,Paramount Pictures
1238,Come and See,Belarusfilm
1238,Come and See,Mosfilm
1239,Dark Skies,Alliance Films
1239,Dark Skies,Automatik Entertainment
1239,Dark Skies,Blumhouse Productions
1240,Paranormal Activity 4,Paramount Pictures
1240,Paranormal Activity 4,Blumhouse Productions
1240,Paranormal Activity 4,Solana Films
1241,Ghost Ship,Warner Bros.
1241,Ghost Ship,Village Roadshow Pictures
1241,Ghost Ship,NPV Entertainment
1242,The Gold Rush,Charles Chaplin Productions
1243,Failure to Launch,Paramount Pictures
1243,Failure to Launch,Scott Rudin Productions
1243,Failure to Launch,Failure to Launch Productions
1244,Top Secret!,Kingsmere Properties
1245,Reign Over Me,Relativity Media
1245,Reign Over Me,Madison 23
1245,Reign Over Me,Sunlight Productions
1246,The First Purge,Universal Pictures
1246,The First Purge,Perfect World Pictures
1246,The First Purge,Platinum Dunes
1247,The Dirty Dozen,Metro-Goldwyn-Mayer (MGM)
1247,The Dirty Dozen,MKH
1247,The Dirty Dozen,Seven Arts Productions
1248,Stigmata,Metro-Goldwyn-Mayer (MGM)
1248,Stigmata,FGM Entertainment
1249,Funny Games.1,Celluloid Dreams
1249,Funny Games.1,Halcyon Pictures
1249,Funny Games.1,Tartan Films
1250,Judas and the Black Messiah,BRON Studios
1250,Judas and the Black Messiah,Bron Creative
1250,Judas and the Black Messiah,MACRO
1251,Dead Man Walking,Havoc
1251,Dead Man Walking,Polygram Filmed Entertainment
1251,Dead Man Walking,Working Title Films
1252,Magic Mike XXL,Warner Bros.
1252,Magic Mike XXL,Iron Horse Entertainment (II)
1253,Dead Alive,WingNut Films
1253,Dead Alive,New Zealand Film Commission
1253,Dead Alive,Avalon/NFU
1254,Bringing Out the Dead,De Fina-Cappa
1254,Bringing Out the Dead,Paramount Pictures
1254,Bringing Out the Dead,Touchstone Pictures
1255,Enter the Dragon,Warner Bros.
1255,Enter the Dragon,Concord Productions
1256,The Passion of Joan of Arc,Société générale des films
1257,Concussion,LStar Capital
1257,Concussion,Scott Free Productions
1257,Concussion,The Cantillon Company
1258,Saw: The Final Chapter,Twisted Pictures
1258,Saw: The Final Chapter,A Bigger Boat
