,title,genres
1825,The Sword in the Stone,Family
1825,The Sword in the Stone,Fantasy
1825,The Sword in the Stone,Musical
1826,Bajrangi Bhaijaan,Action
1826,Bajrangi Bhaijaan,Adventure
1826,Bajrangi Bhaijaan,Comedy
1826,Bajrangi Bhaijaan,Drama
1827,Bridget Jones's Baby,Comedy
1827,Bridget Jones's Baby,Drama
1827,Bridget Jones's Baby,Romance
1828,Blackhat,Action
1828,Blackhat,Crime
1828,Blackhat,Thriller
1829,Election,Comedy
1829,Election,Romance
1830,The Rocketeer,Action
1830,The Rocketeer,Adventure
1830,The Rocketeer,Family
1830,The Rocketeer,Sci-Fi
1831,Going the Distance,Comedy
1831,Going the Distance,Romance
1832,Ma,Horror
1832,Ma,Mystery
1832,Ma,Thriller
1833,Bedazzled,Comedy
1833,Bedazzled,Fantasy
1834,Shanghai Knights,Action
1834,Shanghai Knights,Adventure
1834,Shanghai Knights,Comedy
1835,Frances Ha,Comedy
1835,Frances Ha,Drama
1835,Frances Ha,Romance
1836,The African Queen,Adventure
1836,The African Queen,Drama
1836,The African Queen,Romance
1836,The African Queen,War
1837,City of Ember,Adventure
1837,City of Ember,Family
1837,City of Ember,Fantasy
1837,City of Ember,Sci-Fi
1838,The Last Temptation of Christ,Drama
1839,The Love Guru,Comedy
1839,The Love Guru,Romance
1839,The Love Guru,Sport
1840,Octopussy,Action
1840,Octopussy,Adventure
1840,Octopussy,Thriller
1841,The Green Knight,Adventure
1841,The Green Knight,Drama
1841,The Green Knight,Fantasy
1842,Crocodile Dundee,Action
1842,Crocodile Dundee,Adventure
1842,Crocodile Dundee,Comedy
1843,"Aguirre, the Wrath of God",Action
1843,"Aguirre, the Wrath of God",Adventure
1843,"Aguirre, the Wrath of God",Biography
1843,"Aguirre, the Wrath of God",Drama
1843,"Aguirre, the Wrath of God",History
1844,Jack,Comedy
1844,Jack,Drama
1844,Jack,Fantasy
1845,Dangerous Minds,Biography
1845,Dangerous Minds,Drama
1846,Lagaan: Once Upon a Time in India,Drama
1846,Lagaan: Once Upon a Time in India,Musical
1846,Lagaan: Once Upon a Time in India,Sport
1847,Dara of Jasenovac,Drama
1847,Dara of Jasenovac,War
1848,The Wages of Fear,Adventure
1848,The Wages of Fear,Drama
1848,The Wages of Fear,Thriller
1849,Three Amigos!,Comedy
1849,Three Amigos!,Western
1850,High Tension,Horror
1851,Daddy's Home 2,Comedy
1852,Fool's Gold,Action
1852,Fool's Gold,Adventure
1852,Fool's Gold,Comedy
1852,Fool's Gold,Romance
1852,Fool's Gold,Thriller
1853,Cold War,Drama
1853,Cold War,History
1853,Cold War,Music
1853,Cold War,Romance
1854,Serpico,Biography
1854,Serpico,Crime
1854,Serpico,Drama
1854,Serpico,Thriller
1855,Child's Play.1,Drama
1855,Child's Play.1,Horror
1855,Child's Play.1,Sci-Fi
1856,Scooby-Doo,Adventure
1856,Scooby-Doo,Comedy
1856,Scooby-Doo,Family
1856,Scooby-Doo,Fantasy
1856,Scooby-Doo,Mystery
1857,Deliverance,Adventure
1857,Deliverance,Drama
1857,Deliverance,Thriller
1858,Everything Must Go,Drama
1859,What Happened to Monday,Action
