web-scraper-order,web-scraper-start-url,title,detail,detail-href,year,rate,duration,imdb_rating,num_vote,release_date,gross_us_can,gross_opening_weekend,gross_worldwide,Date
1647973362-2157,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Hitchcock,Hitchcock,https://www.imdb.com/title/tt0975645/?ref_=adv_li_tt,2012,PG-13,1h 38m,6.8,75K,"December 14, 2012 (United States)","$6,008,677 ","$287,715 ","$27,039,669 ","December 14, 2012"
1647971264-1717,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Red Notice,Red Notice,https://www.imdb.com/title/tt7991608/?ref_=adv_li_tt,2021,PG-13,1h 58m,6.4,245K,"November 12, 2021 (United States)",null,null,"$178,143 ","November 12, 2021"
1647964728-348,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Sleepless in Seattle,Sleepless in Seattle,https://www.imdb.com/title/tt0108160/?ref_=adv_li_tt,1993,PG,1h 45m,6.8,172K,"June 25, 1993 (United States)","$126,808,165 ","$17,253,733 ","$227,927,165 ","June 25, 1993"
1647967989-1021,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Life,Life,https://www.imdb.com/title/tt5442430/?ref_=adv_li_tt,2017,G,1h 44m,6.6,223K,"March 24, 2017 (United States)","$30,234,022 ","$12,501,936 ","$100,541,806 ","March 24, 2017"
1647968627-1158,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Sicario: Day of the Soldado,Sicario: Day of the Soldado,https://www.imdb.com/title/tt5052474/?ref_=adv_li_tt,2018,15,2h 2m,7.1,142K,"June 28, 2018 (Mexico)","$50,072,235 ","$19,007,566 ","$75,837,743 ","June 28, 2018"
1647978590-3301,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Baahubali 2: The Conclusion,Baahubali 2: The Conclusion,https://www.imdb.com/title/tt4849438/?ref_=adv_li_tt,2017,Not Rated,2h 47m,8.3,87K,"April 28, 2017 (India)","$20,186,659 ","$10,430,497 ","$254,158,390 ","April 28, 2017"
1647972098-1885,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",To Rome with Love,To Rome with Love,https://www.imdb.com/title/tt1859650/?ref_=adv_li_tt,2012,R,1h 52m,6.3,87K,"July 26, 2012 (Thailand)","$16,685,867 ","$361,359 ","$73,244,881 ","July 26, 2012"
1647977282-3015,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Punisher: War Zone,Punisher: War Zone,https://www.imdb.com/title/tt0450314/?ref_=adv_li_tt,2008,R,1h 43m,5.9,63K,"December 5, 2008 (United States)","$8,050,977 ","$4,271,451 ","$10,161,493 ","December 5, 2008"
1647967585-934,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Spring Breakers,Spring Breakers,https://www.imdb.com/title/tt2101441/?ref_=adv_li_tt,2012,R,1h 34m,5.3,141K,"March 6, 2013 (France)","$14,124,284 ","$263,002 ","$32,170,399 ","March 6, 2013"
1647971881-1838,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Cube²: Hypercube,Cube²: Hypercube,https://www.imdb.com/title/tt0285492/?ref_=adv_li_tt,2002,R,1h 34m,5.5,66K,"April 15, 2003 (Canada)",null,null,"$3,563,603 ","April 15, 2003"
1647973272-2138,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",El Mariachi,El Mariachi,https://www.imdb.com/title/tt0104815/?ref_=adv_li_tt,1992,R,1h 21m,6.9,66K,1992 (Mexico),"$2,040,920 ","$312,528 ","$2,040,920 ",1992
1647971288-1722,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone,https://www.imdb.com/title/tt0241527/?ref_=adv_li_tt,2001,13,2h 32m,7.6,745K,"November 16, 2001 (United Kingdom)","$318,886,962 ","$90,294,621 ","$1,017,713,119 ","November 16, 2001"
1647975716-2671,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",The Pink Panther,The Pink Panther,https://www.imdb.com/title/tt0383216/?ref_=adv_li_tt,2006,PG,1h 33m,5.6,86K,"March 2, 2006 (Thailand)","$82,226,474 ","$20,220,412 ","$164,115,897 ","March 2, 2006"
1647971838-1828,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Departures,Departures,https://www.imdb.com/title/tt1069238/?ref_=adv_li_tt,2008,PG-13,2h 10m,8,51K,"June 18, 2009 (Thailand)","$1,498,210 ","$74,945 ","$74,236,951 ","June 18, 2009"
1647972490-1971,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",The Proposition,The Proposition,https://www.imdb.com/title/tt0421238/?ref_=adv_li_tt,2005,R,1h 44m,7.3,52K,"October 6, 2005 (Australia)","$1,903,434 ","$32,681 ","$5,048,693 ","October 6, 2005"
1647978586-3300,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",A Silent Voice: The Movie,A Silent Voice: The Movie,https://www.imdb.com/title/tt5323662/?ref_=adv_li_tt,2016,13,2h 10m,8.1,73K,"March 23, 2017 (Thailand)","$644,391 ","$121,732 ","$30,518,948 ","March 23, 2017"
1647966758-758,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Phantom of the Opera,The Phantom of the Opera,https://www.imdb.com/title/tt0293508/?ref_=adv_li_tt,2004,PG-13,2h 23m,7.2,121K,"January 27, 2005 (Thailand)","$51,293,931 ","$4,001,890 ","$154,674,241 ","January 27, 2005"
1647971652-1787,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",The Bandit,The Bandit,https://www.imdb.com/title/tt0116231/?ref_=adv_li_tt,1996,Not Rated,2h 8m,8.2,69K,"November 29, 1996 (Turkey)",null,null,null,"November 29, 1996"
1647979732-3549,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Those Who Wish Me Dead,Those Who Wish Me Dead,https://www.imdb.com/title/tt3215824/?ref_=adv_li_tt,2021,R,1h 40m,6,56K,"May 14, 2021 (Canada)","$7,407,200 ","$2,831,382 ","$23,468,586 ","May 14, 2021"
1647979442-3487,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Gemini Man,Gemini Man,https://www.imdb.com/title/tt1025100/?ref_=adv_li_tt,2019,15,1h 57m,5.7,110K,"October 11, 2019 (United States)","$48,546,770 ","$20,552,372 ","$173,469,516 ","October 11, 2019"
1647971448-1756,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Encanto,Encanto,https://www.imdb.com/title/tt2953050/?ref_=adv_li_tt,2021,PG,1h 42m,7.3,169K,"November 24, 2021 (United States)","$95,917,090 ","$27,206,494 ","$250,381,003 ","November 24, 2021"
1647971638-1784,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Win Win,Win Win,https://www.imdb.com/title/tt1606392/?ref_=adv_li_tt,2011,R,1h 46m,7.2,54K,"April 15, 2011 (United States)","$10,179,275 ","$150,362 ","$11,789,613 ","April 15, 2011"
