,title,director
641,The Ritual,David Bruckner
642,I Don't Feel at Home in This World Anymore.,Macon Blair
643,Just Like Heaven,Mark Waters
644,Angel Heart,Alan Parker
645,The Peacemaker,Mimi Leder
646,1984,Michael Radford
647,"Black Cat, White Cat",Emir Kusturica
648,Mission to Mars,Brian De Palma
649,Kiss of the Dragon,Chris Nahon
650,Brick,Rian Johnson
651,Jobs,Joshua Michael Stern
652,The Last House on the Left,Dennis Iliadis
653,New Nightmare,Wes Craven
654,She's All That,Robert Iscove
655,1922,Zak Hilditch
656,The Flowers of War,Yimou Zhang
657,Cabaret,Bob Fosse
658,Throne of Blood,Akira Kurosawa
659,Headhunters,Morten Tyldum
660,Intolerable Cruelty,Joel Coen
660,Intolerable Cruelty,Ethan Coen
661,Unhinged,Derrick Borte
662,8½,Federico Fellini
663,Deuce Bigalow: European Gigolo,Mike Bigelow
664,Bombshell,Jay Roach
665,Gods of Egypt,Alex Proyas
666,Elite Squad 2: The Enemy Within,José Padilha
667,Knock Knock,Eli Roth
668,Premium Rush,David Koepp
669,Hotel Transylvania 3: Summer Vacation,Genndy Tartakovsky
670,Surf's Up,Ash Brannon
670,Surf's Up,Chris Buck
671,The American President,Rob Reiner
672,Pig,Michael Sarnoski
673,Sixteen Candles,John Hughes
674,The Karate Kid Part II,John G. Avildsen
675,Midway,Roland Emmerich
676,Hard Target,John Woo
677,Audition,Takashi Miike
678,A Wednesday,Neeraj Pandey
679,Ali,Michael Mann
680,Jersey Girl,Kevin Smith
681,Joy Ride,John Dahl
682,Christine,John Carpenter
683,Hara-Kiri,Masaki Kobayashi
684,Collateral Beauty,David Frankel
685,The Road to El Dorado,Bibo Bergeron
685,The Road to El Dorado,Don Paul
685,The Road to El Dorado,Jeffrey Katzenberg
686,Death Note,Adam Wingard
687,The Santa Clause 2,Michael Lembeck
688,The General's Daughter,Simon West
689,War,Philip G. Atwell
690,Naked Gun 33 1/3: The Final Insult,Peter Segal
691,Trolls,Mike Mitchell
691,Trolls,Walt Dohrn
692,Jungle,Greg McLean
693,Small Soldiers,Joe Dante
694,Empire Records,Allan Moyle
695,Goosebumps,Rob Letterman
