title,genres_rotten,original_release_date,day,month,year,runtime,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
Asylum,"Documentary, Horror, Mystery & Suspense, Science Fiction & Fantasy, Special Interest, Romance",17-11-72,17,11,1972,88,Fresh,67,12,Spilled,48,303,2,8,4
Attack of the 50 Foot Woman,"Classics, Science Fiction & Fantasy",01-01-58,01,01,1958,66,Fresh,75,12,Spilled,20,8585,0,9,3
Avenging Angel,"Action & Adventure, Drama, Mystery & Suspense",,00,01,1900,93,Rotten,33,6,Spilled,25,1544,1,2,4
The Aviator,"Action & Adventure, Drama",01-03-85,01,03,1985,98,Rotten,20,5,Spilled,41,239,0,1,4
The Awakening,"Horror, Mystery & Suspense",01-10-80,01,10,1980,102,Rotten,0,5,Spilled,22,421,0,0,5
Babes in Toyland,"Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy, Romance",14-12-61,14,12,1961,106,Rotten,36,11,Spilled,59,10335,1,4,7
Bad Company,"Action & Adventure, Drama, Western",08-10-72,08,10,1972,93,Fresh,92,12,Upright,71,2298,4,11,1
The Bad News Bears,"Classics, Comedy",07-04-76,07,04,1976,102,Fresh,97,32,Upright,80,40382,8,31,1
The Bad Seed,"Classics, Drama, Horror, Mystery & Suspense",12-09-56,12,09,1956,129,Fresh,63,27,Upright,83,8639,5,17,10
Bang The Drum Slowly,"Classics, Comedy, Drama, Sports & Fitness",01-01-73,01,01,1973,96,Fresh,92,38,Upright,62,3796,10,35,3
Battleground,"Action & Adventure, Classics, Drama",09-11-49,09,11,1949,118,Fresh,75,8,Upright,82,2737,1,6,2
Beauty and The Beast (La Belle et la bête),"Drama, Science Fiction & Fantasy, Romance",01-01-46,01,01,1946,95,Certified-Fresh,95,66,Upright,90,22615,16,63,3
The Belles of St. Trinian's,"Action & Adventure, Classics, Comedy",,00,01,1900,91,Fresh,67,6,Upright,70,1293,0,4,2
1001 Grams,Drama,08-05-15,08,05,2015,93,Fresh,82,22,Spilled,48,267,7,18,4
The Best of Times,"Comedy, Drama",31-01-86,31,01,1986,104,Rotten,31,13,Spilled,43,6519,2,4,9
Betrayed,"Action & Adventure, Drama, Mystery & Suspense",26-08-88,26,08,1988,127,Rotten,42,12,Spilled,52,739,3,5,7
The Big Brawl (Battle Creek Brawl),"Action & Adventure, Comedy",10-09-80,10,09,1980,95,Fresh,67,6,Spilled,44,5475,0,4,2
Big Business,Comedy,10-06-88,10,06,1988,97,Rotten,44,18,Upright,69,20086,2,8,10
The Big Heat,"Classics, Drama, Mystery & Suspense",,00,01,1900,90,Fresh,100,31,Upright,90,5964,7,31,0
The Big Sleep,"Classics, Drama, Mystery & Suspense",31-08-46,31,08,1946,114,Certified-Fresh,97,65,Upright,91,33511,15,63,2
The Big Sleep,"Art House & International, Drama, Mystery & Suspense",,00,01,1900,99,Fresh,67,6,Spilled,26,1464,1,4,2
Billy Budd,"Action & Adventure, Classics, Drama",12-11-62,12,11,1962,123,Fresh,90,10,Upright,86,7,0,9,1
The Birds,"Classics, Horror, Mystery & Suspense",28-03-63,28,03,1963,119,Certified-Fresh,95,56,Upright,83,176580,10,53,3
Black Christmas,"Horror, Mystery & Suspense",20-12-74,20,12,1974,98,Fresh,71,34,Upright,75,23059,4,24,10
The Black Hole,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",01-01-79,01,01,1979,97,Rotten,38,32,Spilled,45,9807,4,12,20
The Black Pirate,"Action & Adventure, Classics",08-03-26,08,03,1926,85,Fresh,100,12,Upright,68,1416,1,12,0
Black Rain,"Action & Adventure, Drama, Mystery & Suspense",,00,01,1900,125,Rotten,50,22,Spilled,55,27792,1,11,11
Black Sunday,"Action & Adventure, Drama, Horror, Mystery & Suspense",11-03-77,11,03,1977,143,Fresh,69,26,Upright,64,3906,6,18,8
Black Widow,"Drama, Mystery & Suspense",06-02-87,06,02,1987,102,Rotten,50,22,Spilled,40,3803,2,11,11
Blackmail,"Classics, Drama, Mystery & Suspense",06-10-29,06,10,1929,86,Fresh,86,22,Upright,65,4731,4,19,3
Blind Date,"Comedy, Drama",27-03-87,27,03,1987,93,Rotten,21,24,Spilled,42,18540,3,5,19
Blood and Sand,"Classics, Drama, Romance",22-05-41,22,05,1941,120,Fresh,100,9,Upright,67,636,0,9,0
Blood Feast,"Classics, Horror",01-01-63,01,01,1963,58,Rotten,38,13,Spilled,44,6249,0,5,8
Der Blaue Engel (The Blue Angel),"Art House & International, Classics, Drama, Musical & Performing Arts",01-04-30,01,04,1930,94,Certified-Fresh,96,45,Upright,87,5696,12,43,2
Bluebeard,"Classics, Drama, Horror, Mystery & Suspense",11-11-44,11,11,1944,73,Fresh,100,12,Spilled,38,800,3,12,0
The Border,"Action & Adventure, Drama, Mystery & Suspense",29-01-82,29,01,1982,107,Fresh,80,10,Spilled,53,3285,1,8,2
Born Yesterday,"Classics, Comedy, Drama",26-12-50,26,12,1950,103,Fresh,97,34,Upright,86,4780,6,33,1
The Boston Strangler,"Classics, Drama, Mystery & Suspense",16-10-68,16,10,1968,116,Fresh,86,14,Upright,78,58,2,12,2
The Bounty,"Action & Adventure, Drama",04-05-84,04,05,1984,132,Fresh,74,19,Upright,72,10345,4,14,5
The Boys from Brazil,"Action & Adventure, Drama, Mystery & Suspense",05-10-78,05,10,1978,123,Fresh,69,32,Upright,66,7692,5,22,10
Brainstorm,"Mystery & Suspense, Science Fiction & Fantasy",30-09-83,30,09,1983,106,Rotten,55,20,Spilled,56,6880,1,11,9
Breakout,Action & Adventure,,00,01,1900,96,Rotten,40,10,Spilled,41,1949,1,4,6
Brewster's Millions,Comedy,22-05-85,22,05,1985,97,Rotten,35,23,Spilled,55,38516,0,8,15
Brian's Song,"Classics, Drama, Television",01-05-70,01,05,1970,74,Fresh,92,13,Upright,82,9103,2,12,1
Brief Encounter,"Classics, Drama, Romance",26-11-45,26,11,1945,86,Certified-Fresh,91,44,Upright,91,11170,15,40,4
Broken Arrow,"Action & Adventure, Classics, Drama, Western, Romance",21-07-50,21,07,1950,93,Fresh,89,9,Upright,70,1025,3,8,1
Broken Blossoms,"Classics, Drama, Romance",13-05-19,13,05,1919,87,Fresh,95,22,Upright,71,3802,5,21,1
The Brotherhood,"Action & Adventure, Classics, Drama",01-01-68,01,01,1968,98,Fresh,67,9,Spilled,25,1013,2,6,3
Bug,"Classics, Horror, Mystery & Suspense, Science Fiction & Fantasy",01-06-75,01,06,1975,100,Rotten,33,12,Spilled,25,2000,3,4,8
Burglar,"Comedy, Drama",20-03-87,20,03,1987,102,Rotten,27,11,Spilled,39,6731,1,3,8
Bus Stop,"Comedy, Drama, Romance",01-01-56,01,01,1956,96,Fresh,79,14,Upright,62,7934,0,11,3
Butch Cassidy and the Sundance Kid,"Action & Adventure, Classics, Western",24-10-69,24,10,1969,110,Certified-Fresh,90,51,Upright,92,71183,8,46,5
Bye Bye Birdie,"Classics, Comedy, Kids & Family, Musical & Performing Arts",04-04-63,04,04,1963,112,Fresh,89,28,Upright,66,10175,6,25,3
Calamity Jane,"Classics, Comedy, Musical & Performing Arts, Western, Romance",04-11-53,04,11,1953,101,Fresh,71,21,Upright,87,20693,4,15,6
Camelot,"Action & Adventure, Classics, Comedy, Drama, Musical & Performing Arts, Science Fiction & Fantasy, Romance",25-10-67,25,10,1967,179,Rotten,41,17,Upright,69,8354,1,7,10
Camille,"Classics, Drama, Romance",01-01-36,01,01,1936,108,Fresh,93,14,Upright,83,4354,2,13,1
Cape Fear,"Classics, Drama, Mystery & Suspense",18-04-62,18,04,1962,105,Fresh,100,22,Upright,86,17735,1,22,0
Captain Blood,"Action & Adventure, Classics",28-12-35,28,12,1935,119,Fresh,100,27,Upright,89,8194,4,27,0
Captains Courageous,"Action & Adventure, Classics",25-06-37,25,06,1937,117,Fresh,94,18,Upright,89,3811,0,17,1
Carnival of Souls,"Classics, Comedy, Horror, Mystery & Suspense",26-09-62,26,09,1962,80,Fresh,86,36,Upright,73,9478,5,31,5
Carny,"Drama, Horror",13-06-80,13,06,1980,107,Rotten,50,6,Spilled,52,712,2,3,3
